cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
95598	720	noff	78	0	0	na
95598	0	non	76	100	0	na
95838	240	noff	76	0	0	na
95838	0	non	71	94	0	na
96198	360	noff	71	0	0	na
96198	0	non	73	100	0	na
96558	360	noff	73	0	0	na
96558	0	non	76	106	0	na
96798	240	noff	76	0	0	na
96798	0	non	78	108	0	na
97158	360	noff	78	0	0	na
97158	0	non	81	107	0	na
97518	360	noff	81	0	0	na
97518	0	non	80	105	0	na
97758	240	noff	80	0	0	na
97758	0	non	73	100	0	na
98478	720	noff	73	0	0	na
98478	0	non	78	99	0	na
98598	120	noff	78	0	0	na
98598	0	non	80	102	0	na
98718	120	noff	80	0	0	na
98718	0	non	81	108	0	na
99078	360	noff	81	0	0	na
99078	0	non	83	109	0	na
99438	360	noff	83	0	0	na
99438	0	non	81	110	0	na
99678	240	noff	81	0	0	na
99678	0	non	80	108	0	na
100038	360	noff	80	0	0	na
100038	0	non	77	102	0	na
100398	360	noff	77	0	0	na
100398	0	non	73	93	0	na
100638	240	noff	73	0	0	na
100638	0	non	80	100	0	na
101358	720	noff	80	0	0	na
101358	0	non	81	105	0	na
101598	240	noff	81	0	0	na
101598	0	non	81	98	0	na
102318	720	noff	81	0	0	na
102318	0	non	73	97	0	na
102438	120	noff	73	0	0	na
102438	0	non	76	100	0	na
102558	120	noff	76	0	0	na
102558	0	non	78	102	0	na
103278	720	noff	78	0	0	na
103278	0	non	76	100	0	na
103518	240	noff	76	0	0	na
103518	0	non	71	96	0	na
103878	360	noff	71	0	0	na
103878	0	non	73	101	0	na
104238	360	noff	73	0	0	na
104238	0	non	76	105	0	na
104478	240	noff	76	0	0	na
104478	0	non	78	105	0	na
104838	360	noff	78	0	0	na
104838	0	non	81	106	0	na
105198	360	noff	81	0	0	na
105198	0	non	80	107	0	na
105438	240	noff	80	0	0	na
105438	0	non	78	104	0	na
